bytes_sent,index,source_port,destination_ip,log_level,system_type,action,timestamp,destination_port,host_name,domain_name,response_code,bytes_received,query_duration,event_id,description,direction,status,response,application,service_name,process_id,protocol,rule_id,severity,query_type,message,user_id,session_duration,source_ip
,Security,,192.168.48.72,,,permission_change,2025-09-29T23:56:12.195145,,,,,,,2f1769e9-0440-487d-9c69-7508dbfeb7bb,role update for user on ssh,,success,,chrome,,,,,high,,,user47,,10.33.235.185
1085621,Network,6641,192.168.75.89,,,,2025-09-29T23:14:27.348561,2690,,,,251817,,53a18592-9510-4ffc-bcd8-32e2ee9c61f6,,,,,,,,UDP,,info,,,,76.215,66.248.77.205
,System Log,,172.24.197.142,INFO,linux,,2025-09-29T23:34:47.508514,,LNX-9646,,,,,56c5b75e-09d3-44ca-bec5-964f1623b1b8,,,,,,httpd,65522,,,ERROR,,sudo command execution,,,10.130.207.149
,Firewall,18457,192.168.152.212,,,allow,2025-09-29T23:27:01.291424,5432,,,,,,42c98e8d-8d96-4621-8c6e-46afc9d1220f,,outbound,,,,,,TCP,FW_RULE_4027,warning,,,,,112.3.103.123
,DNS,,157.97.55.136,,,,2025-09-29T23:50:26.051716,,,example.com,1,,0.75,d890a3d9-2b6b-4118-ae3b-fb506f91213a,,,,FORMERR,,,,,,info,AAAA,,,,172.28.155.139
,Security,,10.72.5.233,,,permission_change,2025-09-29T23:43:20.980927,,,,,,,ce07ddc0-5659-4d30-8b1d-78fc08aabd39,role update for user on firefox,,success,,firefox,,,,,medium,,,user44,,10.187.9.59
358021,Network,54899,172.25.93.21,,,,2025-09-29T23:32:03.998758,22,,,,1397908,,e0a929e4-5604-47c7-b6a6-9bb5bf7a510f,,,,,,,,TCP,,info,,,,187.829,227.87.120.140
,System Log,,192.168.159.200,INFO,windows,,2025-09-29T23:51:28.496988,,WIN-8002,,,,,a2879531-d40e-4404-8ccf-b1a83b5e4f67,,,,,,postgresql,52015,,,INFO,,Application crash,,,192.168.233.83
,Firewall,60456,172.23.127.150,,,allow,2025-09-29T23:56:26.428967,80,,,,,,252b14b7-f603-421a-a64b-161e229a0953,,inbound,,,,,,ICMP,FW_RULE_7290,critical,,,,,233.26.235.91
,DNS,,156.26.88.72,,,,2025-09-29T23:28:14.043484,,,internal.net,3,,0.212,2e664e70-5956-4ffd-8588-84c96bbd9d93,,,,NXDOMAIN,,,,,,info,CNAME,,,,10.60.81.195
,Security,,10.56.163.178,,,file_access,2025-09-29T23:39:01.393746,,,,,,,e720043f-886e-4da6-876e-9c9a4e0616a9,execute for user on firefox,,success,,chrome,,,,,high,,,user76,,10.215.139.5
